 * Serving Flask app 'web.routes'
 * Debug mode: off
WARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://192.168.1.234:5000
Press CTRL+C to quit
192.168.1.134 - - [14/Sep/2025 07:55:19] "GET / HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:21] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:21] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:21] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:23] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:23] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:23] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:25] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:25] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:25] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.156 - - [14/Sep/2025 07:55:26] "GET /radio/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:27] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:27] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:27] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:29] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:29] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:29] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:31] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:31] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:31] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:33] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:33] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:33] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:35] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:35] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:35] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.156 - - [14/Sep/2025 07:55:36] "GET /radio/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:37] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:37] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:37] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:39] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:39] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:39] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:41] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:41] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:41] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:43] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:43] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:43] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:45] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:45] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:45] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.156 - - [14/Sep/2025 07:55:46] "GET /radio/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:47] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:47] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:47] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:50] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:50] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:50] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:53] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:53] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:53] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.156 - - [14/Sep/2025 07:55:56] "GET /radio/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:56] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:56] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:56] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:59] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:59] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:55:59] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:02] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:02] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:02] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:05] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:05] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:05] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.156 - - [14/Sep/2025 07:56:06] "GET /radio/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:08] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:08] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:08] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:11] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:11] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:11] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:14] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:14] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:14] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.156 - - [14/Sep/2025 07:56:16] "GET /radio/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:17] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:17] "GET /radio/ALICE/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:17] "GET /radio/MIX106.5/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:20] "GET /radio/99.7NOW/logs HTTP/1.1" 200 -
192.168.1.134 - - [14/Sep/2025 07:56:20] "GET /radio/ALICE/logs HTTP/1.1" 200 -
